image file name,domain,content_id,slug
119273278.jpeg,beautyandstyle.com,218551,essential-frizz-control-tips-tame-hair-humid-weather
283765781.jpeg,beautyandstyle.com,225218,color-theory-matters-picking-perfect-blush-shades-look
